date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:54	55366/55366	---M-Z	200	added ('OK')	text/html	etag:%22d846-52a4c9bf59f80-gzip%22	https://demo2.chethemes.com/html/kybook/404.html	D:/bookstore/demo2.chethemes.com/html/kybook/404.html	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:54	1445/1445	---M--	200	added ('OK')	image/png	etag:%225a5-52a4ca0f75c80%22	https://demo2.chethemes.com/html/kybook/assets/images/shopping-cart.png	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/shopping-cart.png	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:55	22145/22145	---M--	200	added ('OK')	image/jpeg	etag:%225681-52a4ca0f75c80%22	https://demo2.chethemes.com/html/kybook/assets/images/slider-images/slider-image1.jpg	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/slider-images/slider-image1.jpg	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:55	42/42	---M--	200	added ('OK')	image/gif	etag:%222a-52a4c9f4c1d80%22	https://demo2.chethemes.com/html/kybook/assets/images/blank.gif	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/blank.gif	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:55	3099/3099	---M--	200	added ('OK')	image/png	etag:%22c1b-52a4ca1252340%22	https://demo2.chethemes.com/html/kybook/assets/images/top-scroll.png	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/top-scroll.png	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:55	4169/4169	---M--	200	added ('OK')	image/png	etag:%221049-52a4ca06e0840%22	https://demo2.chethemes.com/html/kybook/assets/images/payments/visa.png	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/payments/visa.png	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:56	3758/3758	---M--	200	added ('OK')	image/png	etag:%22eae-52a4ca06e0840%22	https://demo2.chethemes.com/html/kybook/assets/images/payments/mastercard.png	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/payments/mastercard.png	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:56	4147/4147	---M--	200	added ('OK')	image/png	etag:%221033-52a4ca06e0840%22	https://demo2.chethemes.com/html/kybook/assets/images/payments/paypal.png	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/payments/paypal.png	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:56	4412/4412	---M--	200	added ('OK')	image/png	etag:%22113c-52a4ca05ec600%22	https://demo2.chethemes.com/html/kybook/assets/images/payments/ebay.png	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/payments/ebay.png	(from https://demo2.chethemes.com/html/kybook/index.html)
10:46:57	4285/4285	---M--	200	added ('OK')	image/png	etag:%2210bd-52a4ca05ec600%22	https://demo2.chethemes.com/html/kybook/assets/images/payments/americanexpress.png	D:/bookstore/demo2.chethemes.com/html/kybook/assets/images/payments/americanexpress.png	(from https://demo2.chethemes.com/html/kybook/index.html)
